User_ID,Session_ID,Event,Timestamp,Device,Region,Channel,Product_Category,Revenue,Bounce_Flag
USR00001,SES00001,Browse,2026-03-29 19:38:57,Desktop,East,Email,Home,0.0,Yes
USR00001,SES00001,Add to Cart,2026-03-29 19:43:57,Tablet,South,Google Ads,Electronics,0.0,Yes
USR00002,SES00002,Browse,2026-04-12 02:12:16,Tablet,West,Email,Home,0.0,Yes
USR00002,SES00002,Add to Cart,2026-04-12 02:15:16,Tablet,South,Email,Sports,0.0,Yes
USR00002,SES00002,Checkout,2026-04-12 02:20:16,Tablet,West,Google Ads,Beauty,0.0,Yes
USR00003,SES00003,Browse,2026-03-29 11:38:11,Tablet,South,Google Ads,Sports,0.0,Yes
USR00004,SES00004,Browse,2026-03-30 03:46:29,Tablet,East,Organic,Sports,0.0,Yes
USR00005,SES00005,Browse,2026-03-15 02:29:47,Tablet,North,Organic,Sports,0.0,No
USR00005,SES00005,Add to Cart,2026-03-15 02:33:47,Mobile,South,Organic,Beauty,0.0,No
USR00005,SES00005,Checkout,2026-03-15 02:37:47,Tablet,South,Organic,Home,0.0,No
USR00005,SES00005,Purchase,2026-03-15 02:41:47,Mobile,West,Email,Beauty,1272.85,No
USR00006,SES00006,Browse,2026-03-14 20:42:13,Tablet,East,Organic,Electronics,0.0,Yes
USR00007,SES00007,Browse,2026-03-21 15:37:48,Tablet,North,Organic,Beauty,0.0,Yes
USR00007,SES00007,Add to Cart,2026-03-21 15:39:48,Mobile,West,Social Media,Home,0.0,Yes
USR00007,SES00007,Checkout,2026-03-21 15:44:48,Desktop,West,Organic,Beauty,0.0,Yes
USR00008,SES00008,Browse,2026-04-03 19:29:42,Desktop,East,Organic,Beauty,0.0,Yes
USR00008,SES00008,Add to Cart,2026-04-03 19:31:42,Tablet,North,Google Ads,Fashion,0.0,Yes
USR00008,SES00008,Checkout,2026-04-03 19:35:42,Tablet,South,Organic,Fashion,0.0,Yes
USR00009,SES00009,Browse,2026-04-04 17:48:49,Mobile,North,Email,Fashion,0.0,Yes
USR00009,SES00009,Add to Cart,2026-04-04 17:50:49,Tablet,South,Email,Fashion,0.0,Yes
USR00010,SES00010,Browse,2026-04-03 15:55:48,Desktop,East,Email,Fashion,0.0,Yes
USR00010,SES00010,Add to Cart,2026-04-03 15:57:48,Mobile,North,Organic,Sports,0.0,Yes
USR00011,SES00011,Browse,2026-04-10 23:28:13,Desktop,East,Email,Fashion,0.0,Yes
USR00011,SES00011,Add to Cart,2026-04-10 23:31:13,Desktop,West,Social Media,Sports,0.0,Yes
USR00012,SES00012,Browse,2026-03-23 02:59:26,Tablet,South,Email,Electronics,0.0,Yes
USR00013,SES00013,Browse,2026-04-09 14:30:48,Tablet,South,Organic,Beauty,0.0,Yes
USR00013,SES00013,Add to Cart,2026-04-09 14:32:48,Tablet,North,Social Media,Sports,0.0,Yes
USR00013,SES00013,Checkout,2026-04-09 14:37:48,Mobile,South,Email,Fashion,0.0,Yes
USR00014,SES00014,Browse,2026-03-14 08:33:44,Desktop,East,Social Media,Beauty,0.0,Yes
USR00015,SES00015,Browse,2026-03-26 13:57:45,Desktop,North,Social Media,Fashion,0.0,Yes
USR00016,SES00016,Browse,2026-03-19 15:49:38,Mobile,West,Organic,Electronics,0.0,Yes
USR00017,SES00017,Browse,2026-04-07 15:41:11,Mobile,North,Google Ads,Electronics,0.0,Yes
USR00017,SES00017,Add to Cart,2026-04-07 15:46:11,Mobile,East,Email,Electronics,0.0,Yes
USR00017,SES00017,Checkout,2026-04-07 15:50:11,Mobile,South,Email,Electronics,0.0,Yes
USR00018,SES00018,Browse,2026-03-17 06:50:46,Desktop,South,Google Ads,Sports,0.0,Yes
USR00019,SES00019,Browse,2026-04-04 14:53:48,Tablet,North,Google Ads,Electronics,0.0,Yes
USR00019,SES00019,Add to Cart,2026-04-04 14:58:48,Tablet,South,Google Ads,Home,0.0,Yes
USR00020,SES00020,Browse,2026-03-30 10:55:17,Tablet,East,Email,Fashion,0.0,Yes
USR00021,SES00021,Browse,2026-03-25 13:08:21,Desktop,South,Email,Fashion,0.0,Yes
USR00021,SES00021,Add to Cart,2026-03-25 13:10:21,Desktop,East,Organic,Beauty,0.0,Yes
USR00021,SES00021,Checkout,2026-03-25 13:14:21,Mobile,West,Social Media,Beauty,0.0,Yes
USR00022,SES00022,Browse,2026-03-19 19:47:38,Tablet,South,Email,Sports,0.0,No
USR00022,SES00022,Add to Cart,2026-03-19 19:51:38,Desktop,West,Email,Sports,0.0,No
USR00022,SES00022,Checkout,2026-03-19 19:54:38,Mobile,West,Social Media,Sports,0.0,No
USR00022,SES00022,Purchase,2026-03-19 19:56:38,Tablet,North,Organic,Home,1111.34,No
USR00023,SES00023,Browse,2026-03-30 15:26:33,Tablet,East,Social Media,Electronics,0.0,Yes
USR00024,SES00024,Browse,2026-04-12 08:32:08,Desktop,West,Organic,Sports,0.0,Yes
